book_id,isbn,title,first_publication_date,rate,publication_date,total_pages,description,book_publisher_id,book_language_id,book_type_id,parent_book_id
1,085813795-X,Fundamentals of Wavelets,NULL,1.41,1952-08-16,362,"Repair Thoracic Vertebral Disc, Perc Endo Approach",5,6,7,NULL
2,976015378-5,Data Smart,NULL,3.99,1956-08-13,261,"Excision of Cerebral Ventricle, Open Approach, Diagnostic",2,3,4,NULL
3,036829201-0,God Created the Integers,NULL,2.23,1946-07-21,97,"Excision of Perineum Tendon, Open Approach, Diagnostic",3,4,2,NULL
4,283900000-8,Superfreakonomics,NULL,1.26,1981-03-12,493,NULL,1,3,3,NULL
5,274471725-8,Orientalism,NULL,4.2,1946-06-06,139,"Dilate of Abd Aorta, Bifurc, with 3 Drug-elut, Perc Approach",4,3,2,NULL
6,219215341-4,"Nature of Statistical Learning Theory, The",NULL,2.63,1985-11-29,218,"Occlusion L Axilla Art w Extralum Dev, Perc Endo",3,3,3,NULL
7,250397852-5,Integration of the Indian States,NULL,1.38,1961-11-29,462,NULL,7,5,7,NULL
8,827614572-8,"Drunkards Walk, The",NULL,1.5,1968-04-09,459,"Extirpation of Matter from Cecum, Open Approach",1,5,7,NULL
9,297026003-4,Image Processing & Mathematical Morphology,NULL,1.22,1983-08-29,397,Change Intermittent Pressure Device on Abdominal Wall,1,1,1,NULL
10,850675882-3,How to Think Like Sherlock Holmes,NULL,1.72,1955-08-27,403,"Supplement Thor Jt with Nonaut Sub, Open Approach",3,7,3,NULL
11,818972007-4,Data Scientists at Work,NULL,1.57,1967-12-09,251,NULL,8,7,5,NULL
12,490901274-5,Slaughterhouse Five,NULL,2.1,1959-04-13,282,"Neuromotor Develop Assess Neuro Head, Neck w Oth Equip",7,2,2,NULL
13,257454562-1,Birth of a Theorem,1964-10-16,4.11,1979-11-15,460,NULL,1,6,1,NULL
14,016000920-0,Structure & Interpretation of Computer Programs,NULL,1.51,1965-05-04,469,NULL,2,1,4,NULL
15,856215870-4,"Age of Wrath, The",NULL,1.96,1974-01-13,385,NULL,2,7,7,NULL
16,854895848-0,"Trial, The",NULL,3.22,1974-12-16,224,"Revision of Nonaut Sub in Mouth/Throat, Endo",6,8,2,NULL
17,130610270-7,Statistical Decision Theory,NULL,1.94,1980-06-09,449,"Removal of Autol Sub from Kidney, Open Approach",3,2,1,NULL
18,358472247-0,Data Mining Handbook,NULL,4.26,1962-12-16,125,NULL,10,4,1,NULL
19,224214460-X,"New Machiavelli, The",NULL,2.53,1986-02-09,301,"Restriction of Lg Intest with Intralum Dev, Open Approach",4,8,2,NULL
20,203745231-4,Physics & Philosophy,NULL,2.59,1943-08-28,150,"Revision of Nonaut Sub in L Tarsal, Extern Approach",9,8,4,NULL
21,900730166-7,Making Software,NULL,1.43,1947-12-03,62,"Bypass Abd Aorta to B Ext Ilia with Autol Art, Open Approach",3,5,2,NULL
22,883497049-7,"Analysis, Vol I",NULL,4.18,1967-02-24,239,Wheelchair Mobility Assessment using Prosthesis,2,4,4,NULL
23,202766881-0,Machine Learning for Hackers,NULL,3.18,1969-10-04,197,"Insertion of Ext Fix into R Carpal Jt, Perc Endo Approach",10,5,1,NULL
24,810027631-5,"Signal and the Noise, The",NULL,4.28,1946-11-13,171,"Replacement of L Mandible with Synth Sub, Perc Endo Approach",2,9,2,NULL
25,710604901-8,Python for Data Analysis,NULL,3.02,1975-07-25,342,"Drainage of Urethra, Open Approach",2,9,1,NULL
26,856107121-4,Introduction to Algorithms,NULL,4.38,1965-06-04,389,"Excision of Left Face Vein, Percutaneous Approach, Diagn",2,8,7,NULL
27,110015796-4,"Beautiful and the Damned, The",NULL,1.7,1963-03-24,462,NULL,10,1,6,NULL
28,596275107-8,"Outsider, The",NULL,2.92,1986-12-27,250,"Extirpate of Matter from L Shoulder Bursa/Lig, Open Approach",2,7,1,NULL
