book_book_id,author_author_id,is_translator
1,16,0
2,3,0
3,16,0
4,27,1
5,27,1
6,26,0
7,32,0
8,10,0
9,22,0
10,4,0
11,4,1
12,33,0
13,30,0
14,30,0
15,33,0
16,23,0
17,20,1
18,1,0
19,6,0
20,29,0
21,15,0
22,12,1
23,17,1
24,34,0
25,6,1
26,8,0
27,26,0
28,2,1
29,16,0
30,16,1
31,1,1
32,3,0
33,32,0
34,15,0
35,30,0
36,32,0
37,27,0
38,33,0
39,22,0
40,24,0
41,21,0
42,17,0
43,13,1
44,25,0
45,5,0
46,9,0
47,17,0
48,19,0
49,6,0
50,24,1
51,21,1
52,3,0
53,6,0
54,23,1
55,8,1
56,8,0
57,12,0
58,9,0
59,3,0
60,27,1
61,9,0
62,15,1
63,24,0
64,31,0
65,34,0
66,8,0
67,2,0
68,31,1
69,17,0
70,30,1
71,27,0
72,4,0
73,34,0
74,26,0
75,19,0
76,18,0
77,20,1
78,2,0
79,20,0
80,10,1
81,13,0
82,19,0
83,1,0
84,33,0
85,12,0
86,30,0
87,13,0
88,35,0
89,27,0
90,8,1
91,28,0
92,6,0
93,32,0
94,13,0
95,10,0
96,9,0
97,22,0
98,27,0
99,4,1
100,30,0
7,15,0
19,12,0
3,21,0
16,24,0
75,3,0
14,5,0
33,35,0
99,1,0
11,1,0
23,16,0
88,21,0
70,29,0
43,14,0
24,11,0
31,2,0
64,9,0
79,21,0
25,8,0
48,25,0
4,12,0
5,17,0
17,12,0
22,10,0
28,3,0
30,18,0
50,12,0
51,15,0
54,5,0
55,9,0
60,28,0
62,14,0
77,6,0
80,12,0
90,16,0
