review_id,rate,review_date,comment,book_book_id,user_user_id
1,2,2022-05-08,"Disp fx of neck of second metacarpal bone, right hand, init",14,47
2,2,2022-01-13,,35,31
3,3,2021-12-23,,8,34
4,1,2022-07-13,Fracture of unspecified phalanx of left index finger,40,36
5,4,2022-01-23,,51,51
6,2,2022-03-25,,88,32
7,5,2022-01-23,,54,31
8,3,2021-10-02,,36,9
9,2,2022-06-07,,4,50
10,4,2022-05-01,,36,17
11,3,2021-10-05,,45,7
12,5,2022-04-20,Eyelid retraction right upper eyelid,58,29
13,4,2021-10-20,,32,37
14,4,2022-07-03,,9,61
15,5,2022-08-03,,21,7
16,2,2021-09-30,,8,54
17,2,2022-05-10,,100,39
18,2,2021-08-08,,5,52
19,1,2022-01-21,,29,21
20,4,2021-12-17,Trade school as place,12,46
21,5,2021-11-23,,62,4
22,5,2021-09-07,"Other fracture of right great toe, sequela",12,9
23,4,2022-07-30,,9,14
24,4,2022-01-29,,22,41
25,2,2022-07-31,"Corrosion of 3rd deg mu sites of left ankle and foot, subs",8,24
26,5,2022-05-24,"Displaced dome fracture of unsp talus, init for opn fx",62,10
27,5,2021-11-27,,36,16
28,5,2021-11-22,,54,61
29,5,2022-05-29,"Traum hemor cereb, w LOC of unsp duration, sequela",67,17
30,4,2022-06-24,,7,57
31,5,2022-07-08,,67,38
32,3,2022-02-20,,43,15
33,5,2022-07-30,Merkel cell carcinoma of right ear and external auric canal,3,10
34,2,2022-07-22,"Contusion of left ear, sequela",81,39
35,2,2022-07-14,"Chronic multifocal osteomyelitis, right tibia and fibula",90,57
36,1,2021-11-20,,14,60
37,1,2021-10-04,"Strain of adductor muscle, fascia and tendon of thigh",52,37
38,3,2021-08-09,,21,31
39,1,2022-03-30,"Unsp pedl cyclst inj pick-up truck, pk-up/van nontraf, subs",62,33
40,1,2022-06-21,,45,39
41,5,2022-02-21,,49,25
42,2,2021-09-21,,82,37
43,2,2022-03-28,,54,16
44,2,2022-06-15,,11,28
45,4,2021-12-21,,18,54
46,1,2021-11-15,"Unsp dislocation of right ulnohumeral joint, init encntr",60,49
47,2,2022-06-14,"Internal ophthalmoplegia (complete) (total), left eye",1,39
48,3,2022-07-07,,15,43
49,3,2021-08-12,Spontaneous rupture of synovium and tendon,70,22
50,3,2021-12-30,,16,65
51,1,2022-02-04,,5,19
52,1,2022-06-18,,62,44
53,2,2022-05-31,"Activity, knitting and crocheting",13,39
54,3,2021-11-24,"Displ seg fx shaft of l femr, 7thR",95,2
55,4,2021-10-31,,81,38
56,1,2022-01-09,,59,16
57,2,2021-12-24,,49,54
58,5,2022-05-20,,55,44
59,5,2021-10-26,,17,60
60,1,2021-10-14,"Spastic entropion of left eye, unspecified eyelid",20,53
61,2,2021-08-28,,69,60
62,5,2022-02-15,,24,57
63,1,2022-01-02,,81,19
64,4,2022-04-01,,98,60
65,2,2021-10-08,,9,35
66,5,2022-06-03,,62,32
67,3,2021-11-18,,81,23
68,5,2021-11-30,"Oth fx lower end of left tibia, init for opn fx type I/2",7,51
69,1,2022-07-22,,32,54
70,2,2022-03-26,,63,14
71,5,2022-01-19,Subacute and chronic vulvitis,26,9
72,5,2021-12-21,,55,64
73,2,2022-04-03,"Displ spiral fx shaft of unsp femr, init for opn fx type I/2",52,3
74,4,2022-04-23,,96,47
75,5,2022-03-13,,95,15
76,4,2022-04-15,,67,14
77,5,2021-11-15,,40,58
78,5,2022-05-08,,96,44
79,4,2022-03-19,,69,13
80,4,2022-05-18,,18,20
81,1,2022-07-31,,30,50
82,4,2021-08-31,,8,46
83,3,2021-10-22,,73,47
84,3,2021-09-23,Contusion of ureter,75,44
85,1,2022-07-03,,11,46
86,3,2022-03-06,,94,19
87,3,2021-09-27,"Stress fracture, unspecified hand, sequela",50,36
88,4,2022-01-05,,79,10
89,2,2021-10-11,,69,23
90,1,2021-11-28,,75,47
91,3,2022-02-25,"Webbed fingers, right hand",2,29
92,4,2021-10-15,,18,63
93,2,2022-06-09,,57,53
94,2,2022-07-26,,48,45
95,2,2021-11-25,,17,29
96,3,2022-02-18,"Oth fracture of right lower leg, subs for clos fx w malunion",30,56
97,3,2022-02-01,,57,52
98,5,2021-10-20,"Toxic eff of venom of African and Asian snake, asslt, init",20,16
99,2,2021-10-26,,90,48
100,4,2021-09-05,,57,64
